Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2011 [YR2011],Region 
Cape Verde,CPV,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,70.0345198,AFRICA
Cayman Islands,CYM,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,49686.31436,CARIBBEAN
Cayman Islands,CYM,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,147.6292151,CARIBBEAN
Cayman Islands,CYM,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,34020.36803,CARIBBEAN
Cayman Islands,CYM,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,155.9140694,CARIBBEAN
Central African Republic,CAF,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,896.9639693,AFRICA
Central African Republic,CAF,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,69.92234105,AFRICA
Central African Republic,CAF,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,869.3184226,AFRICA
Central African Republic,CAF,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,64.45199415,AFRICA
Chad,TCD,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,1983.505835,AFRICA
Chad,TCD,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,68.44149767,AFRICA
Chad,TCD,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,1476.165303,AFRICA
Chad,TCD,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,61.04619818,AFRICA
Chile,CHL,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,20216.30133,Eurostat-OECD
Chile,CHL,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,92.7859597,Eurostat-OECD
Chile,CHL,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,13703.36044,Eurostat-OECD
Chile,CHL,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,91.04534575,Eurostat-OECD
China,CHN,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,10056.70612,ASIA AND THE PACIFIC
China,CHN,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,69.96052082,ASIA AND THE PACIFIC
China,CHN,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,4330.574544,ASIA AND THE PACIFIC
China,CHN,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,67.39067577,ASIA AND THE PACIFIC
Colombia,COL,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,11360.4766,LATIN AMERICA
Colombia,COL,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,81.07129868,LATIN AMERICA
Colombia,COL,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,7836.082289,LATIN AMERICA
Colombia,COL,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,77.30916051,LATIN AMERICA
Comoros,COM,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,609.7987956,AFRICA
Comoros,COM,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,75.63864905,AFRICA
Comoros,COM,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,621.4496172,AFRICA
Comoros,COM,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,70.84327623,AFRICA
"Congo, Dem. Rep.",COD,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,654.5740812,AFRICA
"Congo, Dem. Rep.",COD,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,73.18866566,AFRICA
"Congo, Dem. Rep.",COD,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,446.6091941,AFRICA
"Congo, Dem. Rep.",COD,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,66.73285338,AFRICA
